Product_ID|Line_Name|Product_Category|Product_Name|Supplier_ID|Supplier_Name|Supplier_Country|MSRP
210200400002|Children|Children Sports|Deschutes Boys Outdoors Training Shoes|1303|Eclipse Inc|US|$69.00
210200400005|Children|Children Sports|Kid Air Terra Grande Running Shoes|1303|Eclipse Inc|US|$73.00
210200400007|Children|Children Sports|Kid Equivalent Street Shoes|1303|Eclipse Inc|US|$79.00
210200400009|Children|Children Sports|Kid Impeccably Strong(Bg) Basket Shoes|1303|Eclipse Inc|US|$114.00
210200400012|Children|Children Sports|Kid Trainer Lite V(Bp) Street Shoes|1303|Eclipse Inc|US|$54.00
210200400014|Children|Children Sports|Kid Trainer Lite(Bp) Street Shoes|1303|Eclipse Inc|US|$58.00
210200400018|Children|Children Sports|Kiddy.summit  90 F.G.Rbr (Bg) Children's Shoe|1303|Eclipse Inc|US|$75.00
210200400019|Children|Children Sports|Kiddy.turbo Premier F.G Children's Shoes|1303|Eclipse Inc|US|$83.00
210200400020|Children|Children Sports|Kids Baby Edge Max Shoes|1303|Eclipse Inc|US|$59.00
210200400025|Children|Children Sports|Toddle Children's Air Align(Bg) Shoes|1303|Eclipse Inc|US|$94.00
210200400027|Children|Children Sports|Toddle Children's Air Mantra (3) (Bg) Shoes|1303|Eclipse Inc|US|$92.00
210200400029|Children|Children Sports|Toddle Children's Air Terra Grande Shoes|1303|Eclipse Inc|US|$79.00
210200400030|Children|Children Sports|Toddle Children's Air Terra Humara(Bg) Shoes|1303|Eclipse Inc|US|$130.00
210200400031|Children|Children Sports|Toddle Children's Air Tuco(Bg) Shoes|1303|Eclipse Inc|US|$81.00
210200400032|Children|Children Sports|Toddle Children's Align(Bp) Shoes|1303|Eclipse Inc|US|$73.00
210200400033|Children|Children Sports|Toddle Children's Baby Fit Shoes|1303|Eclipse Inc|US|$46.00
210200400034|Children|Children Sports|Toddle Children's Edge Max(Bp) Shoes|1303|Eclipse Inc|US|$71.00
210200400037|Children|Children Sports|Toddle Children's Perish Nubuck Shoes|1303|Eclipse Inc|US|$72.00
210200400039|Children|Children Sports|Toddle Children's Quokka V (Bp) Shoes|1303|Eclipse Inc|US|$57.00
210200400040|Children|Children Sports|Toddle Children's Tuco(Bp) Shoes|1303|Eclipse Inc|US|$80.00
210200400041|Children|Children Sports|Toddle Children's Understudy(Bg) Shoes|1303|Eclipse Inc|US|$66.00
210200400042|Children|Children Sports|Toddle Children's Understudy(Bp) Shoes|1303|Eclipse Inc|US|$73.00
210200400043|Children|Children Sports|Toddler Children's Shoes|1303|Eclipse Inc|US|$61.00
210200400047|Children|Children Sports|Toddler Fit Shoes|1303|Eclipse Inc|US|$49.00
210200400069|Children|Children Sports|Tony's Children's Classic Basket (Bg) Shoes|1303|Eclipse Inc|US|$66.00
210200400070|Children|Children Sports|Tony's Children's Deschutz (Bg) Shoes|1303|Eclipse Inc|US|$67.00
210200400072|Children|Children Sports|Tony's Children's Golden (Bp) Shoes|1303|Eclipse Inc|US|$66.00
210200400073|Children|Children Sports|Tony's Children's Payoff Trainer (Bp) Shoes|1303|Eclipse Inc|US|$71.00
210200400075|Children|Children Sports|Tony's Children's Rockskipper Shoes|1303|Eclipse Inc|US|$114.00
210200400076|Children|Children Sports|Tony's Children's Terra Reach(Bg) Shoes|1303|Eclipse Inc|US|$117.00
210200400077|Children|Children Sports|Tony's Children's Terra Sebec(Bg) Shoes|1303|Eclipse Inc|US|$60.00
210200400078|Children|Children Sports|Tony's Children's Trainer Lite (Bg) Shoes|1303|Eclipse Inc|US|$68.00
210200400097|Children|Children Sports|Tony's Extra Children's Multicourt(Bg) Shoes|1303|Eclipse Inc|US|$68.00
210200600015|Children|Children Sports|Hardcore Kids Street Shoes|14682|Greenline Sports Ltd|GB|$64.00
210200600032|Children|Children Sports|Atx 7500 Ch Children's Shoes|16733|Fuller Trading Co.|CA|$74.00
210200600048|Children|Children Sports|Big Kid Children's Shoes|2963|3Top Sports|US|$68.00
210200600064|Children|Children Sports|Children's Canvas Shoes|4742|Luna sastreria S.A.|ES|$67.00
210200700013|Children|Children Sports|Slomo Balance Children's Shoes|798|Sportico|ES|$17.00
210200700014|Children|Children Sports|Slomo Children's Hop Shoes|798|Sportico|ES|$27.00
210200700015|Children|Children Sports|Slomo Turner Children's Gym Shoes|798|Sportico|ES|$40.00
210200700020|Children|Children Sports|Upright Shoe Balance Shoes|798|Sportico|ES|$19.00
210200900027|Children|Children Sports|Osprey Cuda Lo Jr. Shoes Synthetic|3664|Triple Sportswear Inc|US|$43.00
210201000166|Children|Children Sports|Children's Shoes Pleva|2963|3Top Sports|US|$106.00
210201000167|Children|Children Sports|Children's Shoes Stratosphere|2963|3Top Sports|US|$56.00
210201000168|Children|Children Sports|Children's Shoes Wilcox|2963|3Top Sports|US|$53.00
210201000169|Children|Children Sports|Children's Street Shoes|2963|3Top Sports|US|$40.00
210201000174|Children|Children Sports|Freestyle Children's Leather Street Shoes|2963|3Top Sports|US|$57.00
210201000175|Children|Children Sports|Freestyle Children's Velcro Shoes|2963|3Top Sports|US|$67.00
210201000178|Children|Children Sports|Infant Children's Shoes|2963|3Top Sports|US|$84.00
210201000179|Children|Children Sports|K Street Shoes|2963|3Top Sports|US|$62.00
210201000182|Children|Children Sports|Kola Cf Velcro Children's Shoes|2963|3Top Sports|US|$72.00
210201000183|Children|Children Sports|Kola Children's Shoes|2963|3Top Sports|US|$64.00
210201000187|Children|Children Sports|Mona  C- Children's Street Shoes|2963|3Top Sports|US|$77.00
210201000189|Children|Children Sports|Mona  J- Children's Street Shoes|2963|3Top Sports|US|$95.00
210201000193|Children|Children Sports|South Peak Children's Shoes J|2963|3Top Sports|US|$113.00
210201000195|Children|Children Sports|South Peak Children's Shoes C|2963|3Top Sports|US|$87.00
210201000196|Children|Children Sports|South Peak Children's Training Shoes|2963|3Top Sports|US|$83.00
210201000197|Children|Children Sports|South Peak Infant Training Shoes|2963|3Top Sports|US|$70.00
210201000198|Children|Children Sports|South Peak Junior Training Shoes|2963|3Top Sports|US|$109.00
210201000199|Children|Children Sports|Starlite Baby Shoes|2963|3Top Sports|US|$67.00
210201000201|Children|Children Sports|Suède Kid Allround Shoes|2963|3Top Sports|US|$64.00
210201000202|Children|Children Sports|T&l Children's Shoes|2963|3Top Sports|US|$57.00
210201000205|Children|Children Sports|Torino 2000 K Street Shoes|2963|3Top Sports|US|$56.00
210201000206|Children|Children Sports|Trainer Children's Shoes|2963|3Top Sports|US|$69.00
210201000207|Children|Children Sports|Training Kid Shoes|2963|3Top Sports|US|$68.00
210201000209|Children|Children Sports|Universe 4 Children's Running Shoes|2963|3Top Sports|US|$94.00
220100100123|Clothes & Shoes|Clothes|Big Guy Men's Dome Shorts Shoes|1303|Eclipse Inc|US|$92.00
220100400007|Clothes & Shoes|Clothes|Big Guy Men's Cortez Nb-Street Shoes|1303|Eclipse Inc|US|$141.00
220100400010|Clothes & Shoes|Clothes|Bill London Calling Shoes|109|Petterson AB|SE|$130.00
220100400012|Clothes & Shoes|Clothes|Bill V-3-London Calling Shoes|109|Petterson AB|SE|$140.00
220100400013|Clothes & Shoes|Clothes|Cross Nubuck Women's Street Shoes|2963|3Top Sports|US|$144.00
220100400017|Clothes & Shoes|Clothes|Cruise Roadstar Leather Shoes|109|Petterson AB|SE|$125.00
220100400018|Clothes & Shoes|Clothes|Osprey Men's Street Cat Nubuck Street Shoes|3664|Triple Sportswear Inc|US|$162.00
220100400019|Clothes & Shoes|Clothes|Osprey Men's Streetcat Leather Street Shoes|3664|Triple Sportswear Inc|US|$132.00
220100400020|Clothes & Shoes|Clothes|Ultra M802 All Terrain Men's Shoes|5503|Ultra Sporting Goods Inc|US|$160.00
220100400022|Clothes & Shoes|Clothes|Ultra M803 Ng Men's Street Shoes|5503|Ultra Sporting Goods Inc|US|$187.00
220100400023|Clothes & Shoes|Clothes|Ultra W802 All Terrain Women's Shoes|5503|Ultra Sporting Goods Inc|US|$168.00
220100400024|Clothes & Shoes|Clothes|Ultra W803 At Women's Street Shoes|5503|Ultra Sporting Goods Inc|US|$174.00
220100400026|Clothes & Shoes|Clothes|Vector Low Men's Shoes|109|Petterson AB|SE|$215.00
220100400027|Clothes & Shoes|Clothes|Wa.lbc Street Shoes|16733|Fuller Trading Co.|CA|$172.00
220100400028|Clothes & Shoes|Clothes|Wa.leather Street Shoes|16733|Fuller Trading Co.|CA|$130.00
220100700001|Clothes & Shoes|Clothes|Classic Men's Leisure Shoes|16733|Fuller Trading Co.|CA|$138.00
220100700002|Clothes & Shoes|Clothes|Dmx 10 Women's Aerobic Shoes|16733|Fuller Trading Co.|CA|$345.00
220100700003|Clothes & Shoes|Clothes|Dmx 6 Shoes|16733|Fuller Trading Co.|CA|$224.00
220100700005|Clothes & Shoes|Clothes|Dmx Lite Women's Aerobic Shoes|16733|Fuller Trading Co.|CA|$318.00
220100700009|Clothes & Shoes|Clothes|Mc Shoes|16733|Fuller Trading Co.|CA|$202.00
220100700010|Clothes & Shoes|Clothes|Men's Running Shoes Burn|16733|Fuller Trading Co.|CA|$93.00
220100700013|Clothes & Shoes|Clothes|Rugged Men's Walking Shoes|16733|Fuller Trading Co.|CA|$136.00
220100700014|Clothes & Shoes|Clothes|Rugged Women's Walking Shoes|16733|Fuller Trading Co.|CA|$99.00
220100700016|Clothes & Shoes|Clothes|Shoes Sphinx|14682|Greenline Sports Ltd|GB|$170.00
220100700017|Clothes & Shoes|Clothes|Trainer Women's Aerobic Shoes|16733|Fuller Trading Co.|CA|$174.00
220100700018|Clothes & Shoes|Clothes|Women's Aerobic Shoes Leggera|2963|3Top Sports|US|$175.00
220100700019|Clothes & Shoes|Clothes|Women's Running Shoes Brevard|2963|3Top Sports|US|$92.00
220100700020|Clothes & Shoes|Clothes|Women's Trainer Aerobic Shoes|16733|Fuller Trading Co.|CA|$202.00
220100700021|Clothes & Shoes|Clothes|Alexis Women's Classic Shoes Large|16733|Fuller Trading Co.|CA|$88.00
220100700022|Clothes & Shoes|Clothes|Alexis Women's Classic Shoes|16733|Fuller Trading Co.|CA|$93.00
220100700023|Clothes & Shoes|Clothes|Armadillo Road Dmx Men's Running Shoes|16733|Fuller Trading Co.|CA|$173.00
220100700024|Clothes & Shoes|Clothes|Armadillo Road Dmx Women's Running Shoes|16733|Fuller Trading Co.|CA|$192.00
220100700026|Clothes & Shoes|Clothes|Del Sol Women's  Aerobic Shoes|16733|Fuller Trading Co.|CA|$161.00
220100700027|Clothes & Shoes|Clothes|Duration Women's Trainer Aerobic Shoes|16733|Fuller Trading Co.|CA|$98.00
220100700028|Clothes & Shoes|Clothes|H Ignitor Women's Aerobic Shoes|16733|Fuller Trading Co.|CA|$244.00
220100700031|Clothes & Shoes|Clothes|Jog Dmx 6 Iii Shoes|16733|Fuller Trading Co.|CA|$238.00
220100700037|Clothes & Shoes|Clothes|Original Women's Nylon Street Shoes|16733|Fuller Trading Co.|CA|$90.00
220100700038|Clothes & Shoes|Clothes|Power Dmx Wide Shoes|16733|Fuller Trading Co.|CA|$196.00
220100700039|Clothes & Shoes|Clothes|Power Men's Dmx Wide, Walking Shoes|16733|Fuller Trading Co.|CA|$90.00
220100700042|Clothes & Shoes|Clothes|Power Women's Dmx Wide, Walking Shoes|16733|Fuller Trading Co.|CA|$153.00
220100700045|Clothes & Shoes|Clothes|Quickstyle Dmx Women's Running Shoes|16733|Fuller Trading Co.|CA|$216.00
220100700046|Clothes & Shoes|Clothes|Tcp 6 Men's Running Shoes|16733|Fuller Trading Co.|CA|$277.00
220100700047|Clothes & Shoes|Clothes|Tcp 6 Women's Running Shoes|16733|Fuller Trading Co.|CA|$241.00
220100700050|Clothes & Shoes|Clothes|Trailblaze Dmx Lite Shoes|16733|Fuller Trading Co.|CA|$340.00
220100700051|Clothes & Shoes|Clothes|Trailblaze Dmx Lite Women's Running Shoes|16733|Fuller Trading Co.|CA|$336.00
220100700052|Clothes & Shoes|Clothes|Trooper Ii Dmx-2x Men's Walking Shoes|16733|Fuller Trading Co.|CA|$216.00
220100700053|Clothes & Shoes|Clothes|Trooper Ii Dmx-2x Women's Walking Shoes|16733|Fuller Trading Co.|CA|$225.00
220100900004|Clothes & Shoes|Clothes|Osprey Bermuda Canvas Shoes|3664|Triple Sportswear Inc|US|$34.00
220200100004|Clothes & Shoes|Shoes|Mercurail F.G. Shoes|1303|Eclipse Inc|US|$318.00
220200100005|Clothes & Shoes|Shoes|4men Men's Air Golden Shoes|1303|Eclipse Inc|US|$125.00
220200100007|Clothes & Shoes|Shoes|Atmosphere Acma Men's Running Shoes|1303|Eclipse Inc|US|$85.00
220200100008|Clothes & Shoes|Shoes|Atmosphere Deschutz Shoes|1303|Eclipse Inc|US|$98.00
220200100009|Clothes & Shoes|Shoes|Atmosphere Imara Women's Running Shoes|1303|Eclipse Inc|US|$121.00
220200100010|Clothes & Shoes|Shoes|Atmosphere Mickey Shoes|1303|Eclipse Inc|US|$346.00
220200100011|Clothes & Shoes|Shoes|Atmosphere Mic Plus.Men's Running Shoe|1303|Eclipse Inc|US|$191.00
220200100012|Clothes & Shoes|Shoes|Atmosphere Shatter Mid Shoes|1303|Eclipse Inc|US|$96.00
220200100014|Clothes & Shoes|Shoes|Atmosphere Terra Grande Shoes|1303|Eclipse Inc|US|$131.00
220200100021|Clothes & Shoes|Shoes|Big Guy Men's Air 120 Soccer Shoes|1303|Eclipse Inc|US|$294.00
